Epoch	Loss	custom_mse
0	0.09385046362876892	0.09385046362876892
1	0.0643153265118599	0.06431571394205093
2	0.06082784757018089	0.06082784757018089
3	0.0595749132335186	0.0595749132335186
4	0.0573536679148674	0.0573536679148674
5	0.055808693170547485	0.055808693170547485
6	0.05881533771753311	0.05881533771753311
7	0.05505498871207237	0.05505498871207237
8	0.05456828325986862	0.05456828325986862
9	0.054016172885894775	0.054016172885894775
10	0.05299745127558708	0.05299745127558708
11	0.05214492231607437	0.05214492231607437
12	0.050369251519441605	0.050369251519441605
13	0.04733783379197121	0.04733783379197121
14	0.03382137045264244	0.03382137045264244
15	0.027173003181815147	0.027173003181815147
16	0.02573149837553501	0.02573149837553501
17	0.025517234578728676	0.025517234578728676
18	0.025077329948544502	0.025077329948544502
19	0.024800283834338188	0.024800283834338188
20	0.024447765201330185	0.024447765201330185
21	0.02422892488539219	0.02422892488539219
22	0.023963291198015213	0.023963291198015213
23	0.02379799634218216	0.02379799634218216
24	0.023515211418271065	0.023515211418271065
25	0.033462852239608765	0.033462852239608765
26	0.02576270140707493	0.02576270140707493
27	0.023830987513065338	0.023830987513065338
28	0.023579267784953117	0.023579267784953117
29	0.024724449962377548	0.024724449962377548
30	0.025839459151029587	0.025839459151029587
31	0.030909763649106026	0.030909763649106026
32	0.042964037507772446	0.042964037507772446
33	0.05722004920244217	0.05722004920244217
34	0.07310602813959122	0.07310602813959122
